transaction_amount,transaction_hour,account_age_days,distance_km,transactions_24h,avg_amount_7d,device_changes_30d,failed_attempts_24h,num_prior_transactions,is_new_device,email_address_match,billing_shipping_match,card_present,merchant_risk_score,velocity_score,isFraud
49.24,9,630,0.47,1,7.48,0,0,40,0,1,1,1,0.216,5.67,0
26.09,23,283,9.83,2,17.35,0,0,13,0,1,1,1,0.266,21.47,0
57.26,16,1100,23.81,1,21.55,0,0,48,0,1,1,0,0.081,3.9,0
137.42,20,187,15.62,1,30.46,1,0,9,0,1,0,1,0.262,34.12,0
23.71,1,22,50.86,3,29.28,0,0,1,0,1,1,0,0.026,29.12,0
23.71,5,525,27.8,2,36.51,0,0,47,0,1,1,1,0.103,15.92,0
145.36,4,576,11.22,1,3.28,0,0,47,0,1,1,1,0.134,0.22,0
64.55,3,403,3.47,2,27.95,0,0,19,0,1,1,1,0.319,12.96,0
18.74,1,575,0.06,1,14.96,0,0,10,0,1,1,1,0.628,12.07,0
51.55,11,371,59.06,1,76.02,0,0,17,0,0,1,1,0.227,25.08,0
18.85,2,590,41.79,3,48.58,0,0,50,0,1,1,1,0.104,15.96,0
18.81,5,22,4.81,0,58.36,1,0,0,1,1,1,1,0.153,7.01,0
38.17,23,230,15.25,2,59.28,0,0,16,0,1,0,0,0.232,21.13,0
4.42,13,118,19.6,2,30.06,0,0,10,0,1,1,0,0.149,6.66,0
5.34,7,52,12.94,0,18.41,0,0,2,0,1,0,1,0.43,9.39,0
17.08,20,133,27.77,1,23.69,0,1,2,0,1,1,1,0.073,5.14,0
10.88,20,106,1.22,2,56.65,0,0,6,0,1,1,0,0.338,24.44,0
41.03,13,1808,34.02,0,21.26,0,0,134,0,1,1,0,0.187,2.54,0
12.09,2,169,7.46,1,28.64,0,0,12,1,1,1,1,0.066,12.31,0
7.3,15,131,9.83,1,24.83,0,0,7,0,1,1,1,0.335,18.29,0
129.76,14,901,8.82,0,21.75,0,0,60,0,1,1,1,0.063,0.0,0
23.91,6,272,11.37,4,73.36,0,0,10,1,1,1,1,0.088,35.82,0
32.06,14,274,13.68,1,17.67,0,0,9,0,1,1,1,0.142,10.86,0
7.21,12,293,18.59,2,10.96,1,0,26,0,1,0,1,0.08,24.32,0
17.39,5,269,11.16,1,46.37,0,0,10,0,1,1,1,0.32,11.07,0
33.48,14,198,17.32,1,23.9,0,0,14,0,1,1,0,0.128,17.46,0
9.48,16,169,6.19,1,16.97,0,0,5,0,1,1,1,0.217,6.92,0
43.63,3,1068,41.39,3,18.35,0,0,56,0,1,1,1,0.168,34.09,0
16.43,21,88,1.0,3,20.35,0,0,2,0,1,1,1,0.146,17.97,0
22.38,21,100,11.83,0,14.98,0,0,4,0,1,1,1,0.209,5.78,0
16.42,13,424,1.37,1,94.03,0,0,13,0,1,1,1,0.145,6.69,0
191.0,14,211,8.77,2,64.81,0,0,20,0,1,1,1,0.145,5.33,0
29.56,11,274,4.47,2,9.65,0,0,4,0,0,1,1,0.097,17.71,0
